City,Country,Date,Latitude,Longtitude,Cloudiness,Humidity,Max_Temp,Wind_Speed
Mitsamiouli,KM,1604776337,-11.38,43.28,98,73,80.33,8.77
Jamestown,SH,1604776339,-15.94,-5.72,6,89,62.2,16.8
Kapaa,US,1604776194,22.08,-159.32,40,88,78.8,8.05
Marovoay,MG,1604776333,-16.1,46.63,20,78,80.6,1.12
Sakaraha,MG,1604776344,-22.9,44.53,3,46,76.68,6.11
Kumul,CN,1604775913,42.8,93.45,73,75,35.4,2.57
Hithadhoo,MV,1604775880,-0.6,73.08,86,73,83.3,8.16
Birjand,IR,1604776350,32.87,59.22,0,15,55.4,9.17
Dikson,RU,1604775905,73.51,80.55,3,89,-2.79,12.1
Khatanga,RU,1604775971,71.97,102.5,9,88,-4.85,11.79
Nanortalik,GL,1604776222,60.14,-45.24,100,90,32.41,6.42
Yārāda,IN,1604776359,17.65,83.27,40,78,80.6,2.24
Huicungo,PE,1604776361,-7.28,-76.8,0,71,93.2,2.93
Butaritari,KI,1604776063,3.07,172.79,100,74,80.76,10.92
Vredendal,ZA,1604776365,-31.67,18.5,3,79,60.75,8.08
Bolobo,CD,1604776367,-2.17,16.23,0,73,76.05,1.61
Guerrero Negro,MX,1604775903,27.98,-114.06,12,57,72.59,14.07
Tuatapere,NZ,1604776367,-46.13,167.68,55,71,46.99,10.0
Esperance,AU,1604776372,-33.87,121.9,40,100,55.4,6.93
Punta Arenas,CL,1604776354,-53.15,-70.92,75,51,59.0,21.92
Tasiilaq,GL,1604775786,65.61,-37.64,90,92,28.4,4.7
Lompoc,US,1604775932,34.64,-120.46,75,71,57.2,12.75
Nikolskoye,RU,1604776363,59.7,30.79,90,81,48.2,11.18
Puerto Ayora,EC,1604776382,-0.74,-90.35,40,65,77.0,18.34
Cabo San Lucas,MX,1604775829,22.89,-109.91,75,74,82.99,8.05
Vuktyl,RU,1604776386,63.86,57.31,100,98,30.7,7.45
Verāval,IN,1604776390,20.9,70.37,0,48,79.11,7.2
Ibanda,UG,1604776392,0.33,30.08,39,73,64.53,1.74
Clyde River,CA,1604776189,70.47,-68.59,20,84,-2.2,4.7
Ushuaia,AR,1604776396,-54.8,-68.3,75,41,60.8,23.04
Sur,OM,1604776210,22.57,59.53,0,77,75.63,7.18
Rikitea,PF,1604776046,-23.12,-134.97,53,74,71.24,19.42
Broken Hill,AU,1604776314,-31.95,141.43,0,33,59.0,11.41
Yumen,CN,1604776161,40.28,97.2,39,80,29.32,2.98
Eureka,US,1604776406,40.8,-124.16,0,71,54.0,10.0
Labuhan,ID,1604776408,-6.88,112.21,0,78,78.91,7.92
Jambi City,ID,1604776410,-1.6,103.62,98,96,74.66,1.19
Magdagachi,RU,1604776412,53.45,125.8,62,90,11.75,8.97
Geraldton,AU,1604776351,-28.77,114.6,90,77,69.8,6.93
Baharly,TM,1604776416,38.44,57.43,100,66,59.04,7.83
Padang,ID,1604776156,-0.95,100.35,100,81,77.23,3.78
Novopavlovka,RU,1604776422,51.22,109.21,98,94,14.38,2.71
Dongli,CN,1604776425,23.57,116.82,90,61,77.0,6.71
Hilo,US,1604776347,19.73,-155.09,90,88,75.99,5.82
Avarua,CK,1604776344,-21.21,-159.78,100,83,75.2,1.12
Kimbe,PG,1604776431,-5.55,150.14,76,85,75.11,3.71
Cape Town,ZA,1604776433,-33.93,18.42,75,82,64.99,13.87
Castro,CL,1604776435,-42.47,-73.77,0,55,64.4,9.17
Kruisfontein,ZA,1604776437,-34.0,24.73,0,76,63.0,1.01
Jalu,LY,1604776193,29.03,21.55,0,54,66.69,14.16
Busselton,AU,1604776441,-33.65,115.33,54,66,55.0,3.27
Arman',RU,1604776444,59.7,150.17,99,86,9.19,15.5
Severo-Kuril'sk,RU,1604776446,50.68,156.12,0,82,34.57,3.29
Isangel,VU,1604776363,-19.55,169.27,1,81,77.36,7.31
Nocupétaro,MX,1604776450,19.05,-101.15,100,37,89.08,3.2
Pitimbu,BR,1604776452,-7.47,-34.81,40,70,84.2,18.34
Talnakh,RU,1604776400,69.49,88.4,75,92,17.6,11.18
Narsaq,GL,1604776053,60.92,-46.05,75,74,30.2,4.7
‘Āhuimanu,US,1604776459,21.44,-157.84,90,83,80.01,9.17
Sechura,PE,1604776460,-5.56,-80.82,67,58,73.44,18.32
Denpasar,ID,1604776277,-8.65,115.22,3,81,76.28,3.74
East London,ZA,1604776464,-33.02,27.91,0,83,71.6,9.17
Charagua,BO,1604776466,-19.8,-63.22,1,18,97.18,12.35
Sandpoint,US,1604776468,48.28,-116.55,90,75,44.01,2.91
Port Alfred,ZA,1604776006,-33.59,26.89,0,87,68.32,5.53
Khovd,MN,1604776375,48.01,91.64,54,89,27.99,0.47
Mugur-Aksy,RU,1604776118,50.35,90.5,0,89,24.06,4.52
Norman Wells,CA,1604775687,65.28,-126.83,75,92,21.2,3.36
Poum,NC,1604776478,-20.23,164.02,1,73,76.44,13.69
Dingle,IE,1604776410,52.14,-10.27,90,93,55.4,11.41
Albany,AU,1604776482,-35.02,117.89,100,93,53.6,3.36
Najrān,SA,1604776484,17.49,44.13,0,23,73.4,4.7
Thompson,CA,1604775840,55.74,-97.86,90,85,17.6,2.24
Saldanha,ZA,1604776296,-33.01,17.94,0,82,62.6,12.75
Uvira,CD,1604776491,-3.41,29.15,97,63,75.51,2.17
Coyhaique,CL,1604776493,-45.58,-72.07,0,37,66.2,5.82
Baykit,RU,1604776109,61.67,96.37,100,94,18.93,2.68
Atuona,PF,1604776354,-9.8,-139.03,88,73,77.61,15.93
Qaanaaq,GL,1604776083,77.48,-69.36,0,71,-12.64,6.4
Riachão do Jacuípe,BR,1604776501,-11.81,-39.39,52,51,87.3,10.92
Waterloo,SL,1604776503,8.34,-13.07,100,85,80.08,3.15
Bluff,NZ,1604776358,-46.6,168.33,6,71,46.99,10.0
Aquiraz,BR,1604776507,-3.9,-38.39,20,58,86.0,18.34
São Filipe,CV,1604776138,14.9,-24.5,49,77,79.52,12.8
Tuktoyaktuk,CA,1604776511,69.45,-133.04,75,79,26.6,21.92
Lebu,CL,1604776513,-37.62,-73.65,0,59,57.07,21.5
La Providencia,MX,1604776515,28.72,-111.58,0,53,87.01,14.0
Besleney,RU,1604776517,44.24,41.74,93,100,41.0,4.0
Naryan-Mar,RU,1604776519,67.67,53.09,100,99,30.04,5.26
Cairns,AU,1604776325,-16.92,145.77,40,78,77.0,4.7
Saskylakh,RU,1604776523,71.92,114.08,5,89,-9.02,6.71
Henties Bay,NA,1604776525,-22.12,14.28,0,90,61.0,3.0
Barrow,US,1604776428,71.29,-156.79,90,86,30.2,26.4
Lagoa,PT,1604776264,39.05,-27.98,0,71,61.5,20.96
Camacha,PT,1604776531,33.08,-16.33,75,82,66.2,10.29
Kitgum,UG,1604776533,3.28,32.89,100,91,69.57,5.28
Westport,NZ,1604776250,-41.75,171.6,100,78,53.17,15.79
Hofn,IS,1604776537,64.25,-15.21,99,79,41.31,10.98
Beringovskiy,RU,1604776212,63.05,179.32,0,86,27.81,5.01
Constantine,DZ,1604776333,36.37,6.61,75,37,68.0,4.7
New Norfolk,AU,1604776544,-42.78,147.06,6,71,42.01,2.57
Paka,MY,1604776071,4.64,103.44,100,94,77.0,1.12
Marsala,IT,1604776548,37.8,12.44,20,88,66.99,1.12
Port Elizabeth,ZA,1604776550,-33.92,25.57,0,93,62.6,5.82
Leshukonskoye,RU,1604776552,64.9,45.76,100,89,34.72,7.99
Atocha,BO,1604776554,-20.93,-66.23,100,61,49.37,7.78
Matara,LK,1604776556,5.95,80.54,0,86,77.88,5.61
Fortuna,US,1604776559,40.6,-124.16,20,66,55.0,14.99
Fairbanks,US,1604776562,64.84,-147.72,75,86,27.0,2.24
Tabou,CI,1604776565,4.42,-7.35,81,84,79.23,5.59
Aleppo Governorate,SY,1604776567,36.25,37.5,0,48,63.14,7.87
Longyearbyen,SJ,1604776356,78.22,15.64,40,80,30.2,2.24
Troitsko-Pechorsk,RU,1604776275,62.71,56.2,96,98,29.12,6.93
Aksu,CN,1604776573,41.12,80.26,0,62,38.3,2.24
Yulara,AU,1604776369,-25.24,130.99,97,14,75.2,8.05
Port-Gentil,GA,1604776577,-0.72,8.78,75,94,78.8,11.41
Nikolayevka,RU,1604776580,53.13,47.2,31,86,35.47,10.29
Komsomol'skiy,RU,1604776582,43.98,46.7,100,55,50.9,20.51
Santa Maria,CV,1604776584,16.6,-22.9,75,74,78.8,16.11
Janaúba,BR,1604776587,-15.8,-43.31,95,50,86.52,5.82
Lithakia,GR,1604776591,37.72,20.83,0,55,66.2,12.75
Nhulunbuy,AU,1604776593,-12.23,136.77,74,88,77.0,6.02
Katwa,IN,1604776595,23.64,88.13,0,59,68.31,6.06
Tual,ID,1604776541,-5.67,132.75,81,70,82.65,11.07
Kualakapuas,ID,1604776599,-3.01,114.39,97,95,75.15,2.21
Rocha,UY,1604776322,-34.48,-54.33,37,68,70.68,10.6
Bambous Virieux,MU,1604776603,-20.34,57.76,20,78,73.4,8.05
Payson,US,1604776605,40.04,-111.73,75,31,64.99,16.11
Cherskiy,RU,1604776040,68.75,161.3,100,95,5.95,6.4
Kiunga,PG,1604776609,-6.12,141.29,100,99,71.4,1.97
Egvekinot,RU,1604776153,66.32,-179.17,100,98,22.46,4.45
Carnarvon,AU,1604776404,-24.87,113.63,90,73,71.6,12.75
Hasaki,JP,1604776194,35.73,140.83,75,93,57.2,2.24
Yellowknife,CA,1604776092,62.46,-114.35,75,85,12.0,4.7
Arinos,BR,1604776619,-15.92,-46.11,100,56,85.73,4.12
High Level,CA,1604776621,58.52,-117.14,75,92,6.8,4.14
Ribeira Grande,PT,1604776624,38.52,-28.7,40,77,60.8,10.29
Provideniya,RU,1604776220,64.38,-173.3,10,94,29.23,9.75
Xai-Xai,MZ,1604776627,-25.05,33.64,0,46,87.62,13.62
College,US,1604776629,64.86,-147.8,90,85,27.0,4.7
Hirado,JP,1604776631,33.36,129.55,0,82,64.0,5.01
Turbat,PK,1604776633,26.0,63.04,0,38,65.16,1.9
Xiuyan,CN,1604776635,40.29,123.27,0,67,33.13,13.62
Belen,US,1604776579,34.66,-106.78,40,20,73.0,20.8
Hermanus,ZA,1604776639,-34.42,19.23,0,57,64.99,11.01
Magistral'nyy,RU,1604776641,56.17,107.45,100,94,14.9,8.55
Kokoda,PG,1604776644,-8.88,147.74,81,71,73.13,1.16
Mahébourg,MU,1604776646,-20.41,57.7,20,78,73.4,8.05
Bethel,US,1604776144,41.37,-73.41,1,35,73.4,8.05
Teluk Nibung,ID,1604776653,3.0,99.82,100,90,77.41,3.06
San Policarpo,PH,1604776656,12.18,125.51,99,87,75.79,3.56
Magadan,RU,1604776658,59.57,150.8,98,86,10.9,14.63
Kaitangata,NZ,1604776206,-46.28,169.85,100,75,46.99,4.0
The Valley,AI,1604776232,18.22,-63.06,20,70,87.8,13.87
La Reforma,MX,1604776665,25.08,-108.05,0,61,91.0,11.99
Adrar,DZ,1604776528,25.75,-1.0,17,15,82.36,9.15
Luba,GQ,1604776668,3.46,8.55,100,80,79.57,6.67
Cabedelo,BR,1604776608,-6.98,-34.83,40,70,84.2,18.34
Verkhnechusovskiye Gorodki,RU,1604776672,58.17,57.11,53,31,74.08,5.12
Ambilobe,MG,1604776654,-13.2,49.05,100,77,75.92,4.12
Aklavik,CA,1604776677,68.22,-135.01,75,63,26.6,14.83
Constitucion,MX,1604776679,23.99,-104.67,5,18,73.99,3.36
Albert Lea,US,1604776680,43.65,-93.37,1,56,71.01,19.46
Bukama,CD,1604776682,-9.2,25.85,21,75,76.33,2.59
Te Anau,NZ,1604776606,-45.42,167.72,98,88,40.66,6.13
Sioux Lookout,CA,1604776306,50.1,-91.92,90,80,32.0,4.7
Sergeevka,KZ,1604776690,53.88,67.42,100,80,41.5,19.84
Tezu,IN,1604776332,27.92,96.17,0,41,66.72,4.05
Nizhniy Kuranakh,RU,1604776694,58.84,125.49,100,90,-0.47,6.33
Okhotsk,RU,1604776696,59.38,143.3,100,90,10.98,14.36
Micheweni,TZ,1604776292,-4.97,39.83,100,81,79.77,10.25
Mildura,AU,1604776700,-34.2,142.15,0,66,50.0,8.05
Rāmkola,IN,1604776702,26.9,83.84,0,55,67.64,2.82
Gravelbourg,CA,1604776704,49.88,-106.55,100,86,30.2,17.22
Kasongo-Lunda,CD,1604776706,-6.47,16.82,100,92,73.11,2.06
Riyadh,SA,1604776460,24.69,46.72,0,31,73.4,4.7
Itarema,BR,1604776710,-2.92,-39.92,99,63,84.29,19.01
San Carlos,BO,1604776672,-17.4,-63.75,0,21,102.47,7.81
Juegang,CN,1604776714,32.32,121.19,0,64,60.01,9.01
Sabang,ID,1604776634,5.89,95.32,100,76,80.22,2.26
Bandarbeyla,SO,1604776422,9.49,50.81,42,85,76.75,15.01
Nizhniy Odes,RU,1604776720,63.64,54.86,100,99,30.88,6.89
Ferreñafe,PE,1604776722,-6.64,-79.79,0,53,73.4,16.11
Cidreira,BR,1604776724,-30.18,-50.21,0,74,70.56,15.08
Fallon,US,1604776726,39.47,-118.78,75,64,43.0,4.7
Mar del Plata,AR,1604776540,-38.0,-57.56,20,82,66.2,2.24
Yarmouth,CA,1604776732,43.83,-66.12,90,67,62.01,8.05
Roald,NO,1604776483,62.58,6.13,75,93,45.0,3.36
Hobart,AU,1604776630,-42.88,147.33,1,80,42.01,6.93
Rengo,CL,1604776738,-34.42,-70.87,0,27,86.0,7.14
Otane,NZ,1604776741,-39.88,176.63,17,81,62.76,7.74
Mehamn,NO,1604776743,71.04,27.85,90,80,39.2,31.09
Kavieng,PG,1604776669,-2.57,150.8,26,70,82.31,8.7
Georgetown,SH,1604776747,-7.93,-14.42,100,82,74.89,20.04
Batagay-Alyta,RU,1604776749,67.8,130.41,74,81,-12.39,0.45
Ayan,RU,1604776751,56.45,138.17,85,86,12.61,17.72
Gijón,ES,1604776532,43.54,-5.66,7,84,62.01,4.0
Sabha,LY,1604776503,27.04,14.43,0,41,64.72,10.16
Bilgi,IN,1604776758,16.35,75.62,35,79,73.27,8.41
Ust'-Omchug,RU,1604776760,61.15,149.63,81,87,-6.81,6.76
Pevek,RU,1604776762,69.7,170.31,100,97,17.46,2.89
Nola,CF,1604776766,3.53,16.04,100,91,72.5,0.92
Lahaina,US,1604776751,20.88,-156.68,40,88,75.99,12.75
Omboué,GA,1604776770,-1.57,9.26,61,88,77.65,8.5
Meulaboh,ID,1604776603,4.14,96.13,99,86,76.68,4.03
Oddur,SO,1604776774,4.12,43.89,100,77,75.74,8.41
Wenzhou,CN,1604776623,28.0,120.67,93,59,69.01,3.18
Bud,NO,1604776779,62.91,6.91,100,93,44.6,2.24
The Pas,CA,1604776781,53.83,-101.25,90,79,24.8,5.82
Kahului,US,1604776783,20.89,-156.47,40,83,75.99,14.99
Vaini,TO,1604776784,-21.2,-175.2,20,88,71.6,5.82
Port-Cartier,CA,1604776786,50.03,-66.87,99,55,34.0,8.05
Ekhabi,RU,1604776788,53.51,142.97,85,89,25.0,7.76
Havelock,US,1604776713,34.88,-76.9,1,64,78.01,13.87
Umm Kaddadah,SD,1604776792,13.6,26.69,0,20,78.85,12.33
Chapais,CA,1604776216,49.78,-74.85,90,80,30.2,6.93
Piła,PL,1604776796,53.15,16.74,0,89,46.0,4.94
Laguna,BR,1604776664,-28.48,-48.78,0,70,71.83,11.54
Kudahuvadhoo,MV,1604776800,2.67,72.89,92,68,84.0,6.87
Redding,US,1604776559,40.59,-122.39,40,54,55.99,1.88
San Vicente,PH,1604776804,15.3,120.65,90,94,77.0,4.7
Hirara,JP,1604776584,24.8,125.28,0,88,78.04,10.45
Haines Junction,CA,1604776271,60.75,-137.51,99,69,-11.2,0.56
Manoel Urbano,BR,1604776812,-8.84,-69.26,75,39,93.87,1.1
Walvis Bay,NA,1604776647,-22.96,14.51,0,77,62.6,8.05
Anzio,IT,1604776817,41.49,12.62,5,87,61.0,2.24
Kenai,US,1604776819,60.55,-151.26,90,85,25.0,8.05
Balkanabat,TM,1604776607,39.51,54.37,100,73,56.77,10.0
Arraial do Cabo,BR,1604776745,-22.97,-42.03,75,61,77.0,11.41
Chara,RU,1604776825,56.91,118.26,84,78,-4.07,2.82
Dolores,AR,1604776827,-36.31,-57.68,12,60,75.04,8.01
Pozo Colorado,PY,1604776829,-23.49,-58.8,1,17,104.49,2.59
Vaxjo,SE,1604776831,56.88,14.81,56,100,48.2,8.05
Tiksi,RU,1604776604,71.69,128.87,0,91,-8.07,1.9
Pong,TH,1604776835,19.15,100.28,10,91,69.55,1.39
Saint George,BM,1604776837,32.38,-64.68,75,65,77.0,13.87
Bilma,NE,1604776490,18.69,12.92,0,26,72.72,7.11
Chicama,PE,1604776841,-7.84,-79.15,32,68,68.0,12.75
Singida,TZ,1604776843,-4.82,34.75,85,41,71.91,13.2
Souillac,MU,1604776814,-20.52,57.52,20,78,73.4,8.05
Paita,PE,1604776847,-5.09,-81.11,0,57,78.8,12.75
Pauini,BR,1604776715,-7.71,-66.98,99,41,94.46,2.68
Svit,SK,1604776851,49.06,20.21,0,79,33.8,4.7
Honiara,SB,1604776853,-9.43,159.95,20,94,73.4,2.24
Glendive,US,1604776803,47.11,-104.71,90,86,37.4,8.05
Staryy Saltiv,UA,1604776857,50.08,36.79,0,93,44.6,4.47
Nantucket,US,1604776859,41.28,-70.1,1,63,66.2,12.75
Kanniyākumāri,IN,1604776862,8.08,77.57,81,75,82.58,17.18
Welkom,ZA,1604776864,-27.99,26.71,0,21,79.66,6.96
Los Llanos de Aridane,ES,1604776668,28.66,-17.92,20,64,69.8,5.79
Dunedin,NZ,1604776146,-45.87,170.5,100,68,50.0,9.98
Grants Pass,US,1604776806,42.44,-123.33,90,60,48.99,4.14
Port Blair,IN,1604776597,11.67,92.75,0,79,81.21,7.38
Belyy Yar,RU,1604776875,53.6,91.39,71,92,30.2,4.47
Chokurdakh,RU,1604776479,70.63,147.92,100,95,2.53,6.46
Palu,ID,1604776878,-0.89,119.87,100,81,75.83,2.57
Camaná,PE,1604776881,-16.62,-72.71,98,74,64.56,4.54
Salalah,OM,1604776387,17.02,54.09,0,61,77.0,4.7
Djougou,BJ,1604776884,9.71,1.67,44,50,77.0,2.24
South Kazakhstan Region,KZ,1604776891,43.0,68.0,100,28,56.43,10.02
Puro,PH,1604776893,12.48,123.38,100,86,77.4,12.66
Orange,AU,1604776895,-33.28,149.1,0,99,45.0,1.99
Caxito,AO,1604776897,-8.58,13.66,40,83,78.8,8.05
Port Keats,AU,1604776899,-14.25,129.55,10,67,83.01,3.4
Klaksvík,FO,1604776182,62.23,-6.59,67,86,39.2,8.08
Gejiu,CN,1604776903,23.31,103.16,2,100,47.64,3.31
Ponta do Sol,CV,1604776904,17.2,-25.09,75,65,80.6,19.46
San Andrés,CO,1604776906,12.58,-81.7,75,70,87.8,6.93
Khomutovo,RU,1604776908,52.47,104.4,40,92,21.2,2.24
Chui,UY,1604776910,-33.7,-53.46,23,71,68.81,11.92
Mitú,CO,1604776801,1.2,-70.17,97,91,81.99,3.47
Nosy Varika,MG,1604776914,-20.58,48.53,1,85,73.35,9.15
Pisco,PE,1604776353,-13.7,-76.22,90,82,64.99,8.05
Upernavik,GL,1604776686,72.79,-56.15,0,76,-1.93,8.43
Hambantota,LK,1604776920,6.12,81.12,5,100,77.0,3.36
Yaguajay,CU,1604776922,22.33,-79.24,100,90,73.49,16.2
Krasnyy Chikoy,RU,1604776924,50.36,108.75,62,92,14.05,3.09
Saint-Augustin,CA,1604776926,51.23,-58.65,0,80,34.34,19.17
San Cristóbal,CO,1604776928,9.88,-75.25,75,79,84.2,6.93
Roblin,CA,1604776930,51.23,-101.36,100,86,31.44,17.96
